
S0066,3PARA RAT,,3PARA RAT is a remote access tool (RAT) programmed in C++ that has been used by Putter Panda.
S0053,SeaDuke,"SeaDaddy, SeaDesk",SeaDuke is malware that was used by APT29 from 2014 to 2015. It was used primarily as a secondary backdoor for victims that were already compromised with CozyCar.
S0345,Seasalt,,Seasalt is malware that has been linked to APT1's 2010 operations. It shares some code similarities with OceanSalt.
S0185,SEASHARPEE,,SEASHARPEE is a Web shell that has been used by OilRig.
S0382,ServHelper,,ServHelper is a backdoor first observed in late 2018. The backdoor is written in Delphi and is typically delivered as a DLL file.
S0639,Seth-Locker,,Seth-Locker is a ransomware with some remote control capabilities that has been in use since at least 2021.
S0596,ShadowPad,POISONPLUG.SHADOW,"ShadowPad is a modular backdoor that was first identified in a supply chain compromise of the NetSarang software in mid-July 2017. The malware was originally thought to be exclusively used by APT41, but has since been observed to be used by various Chinese threat activity groups."
S0140,Shamoon,Disttrack,"Shamoon is wiper malware that was first used by an Iranian group known as the ""Cutting Sword of Justice"" in 2012. Other versions known as Shamoon 2 and Shamoon 3 were observed in 2016 and 2018. Shamoon has also been seen leveraging RawDisk and Filerase to carry out data wiping tasks. The term Shamoon is sometimes used to refer to the group using the malware as well as the malware itself."
S1019,Shark,,Shark is a backdoor malware written in C# and .NET that is an updated version of Milan; it has been used by HEXANE since at least July 2021.
S1055,SharkBot,,"SharkBot is a banking malware, first discovered in October 2021, that tries to initiate money transfers directly from compromised devices by abusing Accessibility Services."
S0546,SharpStage,,SharpStage is a .NET malware with backdoor capabilities.
S0450,SHARPSTATS,,SHARPSTATS is a .NET backdoor used by MuddyWater since at least 2019.
S0294,ShiftyBug,,"ShiftyBug is an auto-rooting adware family of malware for Android. The family is very similar to the other Android families known as Shedun, Shuanet, Kemoge, though it is not believed all the families were created by the same group."
S0444,ShimRat,,"ShimRat has been used by the suspected China-based adversary Mofang in campaigns targeting multiple countries and sectors including government, military, critical infrastructure, automobile, and weapons development. The name ""ShimRat"" comes from the malware's extensive use of Windows Application Shimming to maintain persistence."
S0445,ShimRatReporter,,"ShimRatReporter is a tool used by suspected Chinese adversary Mofang to automatically conduct initial discovery. The details from this discovery are used to customize follow-on payloads (such as ShimRat) as well as set up faux infrastructure which mimics the adversary's targets. ShimRatReporter has been used in campaigns targeting multiple countries and sectors including government, military, critical infrastructure, automobile, and weapons development."
S0028,SHIPSHAPE,,SHIPSHAPE is malware developed by APT30 that allows propagation and exfiltration of data over removable devices. APT30 may use this capability to exfiltrate data across air-gaps.
S0063,SHOTPUT,"Backdoor.APT.CookieCutter, Pirpi",SHOTPUT is a custom backdoor used by APT3.
S0217,SHUTTERSPEED,,SHUTTERSPEED is a backdoor used by APT37.
S0589,Sibot,,Sibot is dual-purpose malware written in VBScript designed to achieve persistence on a compromised system as well as download and execute additional payloads. Microsoft discovered three Sibot variants in early 2021 during its investigation of APT29 and the SolarWinds Compromise.
S0610,SideTwist,,SideTwist is a C-based backdoor that has been used by OilRig since at least 2021.
S0692,SILENTTRINITY,,"SILENTTRINITY is an open source remote administration and post-exploitation framework primarily written in Python that includes stagers written in Powershell, C, and Boo. SILENTTRINITY was used in a 2019 campaign against Croatian government agencies by unidentified cyber actors."
S0549,SilkBean,,SilkBean is a piece of Android surveillanceware containing comprehensive remote access tool (RAT) functionality that has been used in targeting of the Uyghur ethnic group.
S0623,Siloscape,,Siloscape is malware that targets Kubernetes clusters through Windows containers. Siloscape was first observed in March 2021.
S0419,SimBad,,"SimBad was a strain of adware on the Google Play Store, distributed through the RXDroider Software Development Kit. The name ""SimBad"" was derived from the fact that most of the infected applications were simulator games. The adware was controlled using an instance of the open source framework Parse Server."
S0007,Skeleton Key,,Skeleton Key is malware used to inject false credentials into domain controllers with the intent of creating a backdoor password.  Functionality similar to Skeleton Key is included as a module in Mimikatz.
S0468,Skidmap,,Skidmap is a kernel-mode rootkit used for cryptocurrency mining.
S0327,Skygofree,,Skygofree is Android spyware that is believed to have been developed in 2014 and used through at least 2017.
S0633,Sliver,,"Sliver is an open source, cross-platform, red team command and control framework written in Golang."
S0533,SLOTHFULMEDIA,"JackOfHearts, QueenOfClubs","SLOTHFULMEDIA is a remote access Trojan written in C++ that has been used by an unidentified ""sophisticated cyber actor"" since at least January 2017. It has been used to target government organizations, defense contractors, universities, and energy companies in Russia, India, Kazakhstan, Kyrgyzstan, Malaysia, Ukraine, and Eastern Europe.  In October 2020, Kaspersky Labs assessed SLOTHFULMEDIA is part of an activity cluster it refers to as ""IAmTheKing"". ESET also noted code similarity between SLOTHFULMEDIA and droppers used by a group it refers to as ""PowerPool""."
S0218,SLOWDRIFT,,SLOWDRIFT is a backdoor used by APT37 against academic and strategic victims in South Korea.
S1035,Small Sieve,GRAMDOOR,"Small Sieve is a Telegram Bot API-based Python backdoor that has been distributed using a Nullsoft Scriptable Install System (NSIS) Installer; it has been used by MuddyWater since at least January 2022.Security researchers have also noted Small Sieve's use by UNC3313, which may be associated with MuddyWater."
S0226,Smoke Loader,Dofoil,Smoke Loader is a malicious bot application that can be used to load other malware.Smoke Loader has been seen in the wild since at least 2011 and has included a number of different payloads. It is notorious for its use of deception and self-protection. It also comes with several plug-ins.
S0649,SMOKEDHAM,,SMOKEDHAM is a Powershell-based .NET backdoor that was first reported in May 2021; it has been used by at least one ransomware-as-a-service affiliate.
S0159,SNUGRIDE,,SNUGRIDE is a backdoor that has been used by menuPass as first stage malware.
S0273,Socksbot,,Socksbot is a backdoor that  abuses Socket Secure (SOCKS) proxies.
S0627,SodaMaster,"DARKTOWN, dfls, DelfsCake",SodaMaster is a fileless malware used by menuPass to download and execute payloads since at least 2020.
S0615,SombRAT,,"SombRAT is a modular backdoor written in C++ that has been used since at least 2019 to download and execute malicious payloads, including FIVEHANDS ransomware."
S0516,SoreFang,,SoreFang is first stage downloader used by APT29 for exfiltration and to load other malware.
S0157,SOUNDBITE,,SOUNDBITE is a signature backdoor used by APT32.
S0035,SPACESHIP,,SPACESHIP is malware developed by APT30 that allows propagation and exfiltration of data over removable devices. APT30 may use this capability to exfiltrate data across air-gaps.
S0543,Spark,,Spark is a Windows backdoor and has been in use since as early as 2017.
S0374,SpeakUp,,SpeakUp is a Trojan backdoor that targets both Linux and OSX devices. It was first observed in January 2019.
S0646,SpicyOmelette,,SpicyOmelette is a JavaScript based remote access tool that has been used by Cobalt Group since at least 2018.
S0227,spwebmember,,spwebmember is a Microsoft SharePoint enumeration and data dumping tool written in .NET.
S0324,SpyDealer,,SpyDealer is Android malware that exfiltrates sensitive data from Android devices.
S0305,SpyNote RAT,,SpyNote RAT (Remote Access Trojan) is a family of malicious Android apps. The SpyNote RAT builder tool can be used to develop malicious apps with the malware's functionality.
S0225,sqlmap,,sqlmap is an open source penetration testing tool that can be used to automate the process of detecting and exploiting SQL injection flaws.
S0390,SQLRat,,SQLRat is malware that executes SQL scripts to avoid leaving traditional host artifacts. FIN7 has been observed using it.
S1030,Squirrelwaffle,,Squirrelwaffle is a loader that was first seen in September 2021. It has been used in spam email campaigns to deliver additional malware such as Cobalt Strike and the QakBot banking trojan.
S0058,SslMM,,SslMM is a full-featured backdoor used by Naikon that has multiple variants.
S0188,Starloader,,Starloader is a loader component that has been observed loading Felismus and associated tools.
S1037,STARWHALE,CANOPY,"STARWHALE is Windows Script File (WSF) backdoor that has been used by MuddyWater, possibly since at least November 2021; there is also a STARWHALE variant written in Golang with similar capabilities. Security researchers have also noted the use of STARWHALE by UNC3313, which may be associated with MuddyWater."
S0328,Stealth Mango,,"Stealth Mango is Android malware that has reportedly been used to successfully compromise the mobile devices of government officials, members of the military, medical professionals, and civilians. The iOS malware known as Tangelo is believed to be from the same developer."
S0380,StoneDrill,DROPSHOT,StoneDrill is wiper malware discovered in destructive campaigns against both Middle Eastern and European targets in association with APT33.
S0142,StreamEx,,"StreamEx is a malware family that has been used by Deep Panda since at least 2015. In 2016, it was distributed via legitimate compromised Korean websites."
S1034,StrifeWater,,StrifeWater is a remote-access tool that has been used by Moses Staff in the initial stages of their attacks since at least November 2021.
S0491,StrongPity,,StrongPity is an information stealing malware used by PROMETHIUM.
S0603,Stuxnet,W32.Stuxnet,"Stuxnet was the first publicly reported piece of malware to specifically target industrial control systems devices. Stuxnet is a large and complex piece of malware that utilized multiple different behaviors including multiple zero-day vulnerabilities, a sophisticated Windows rootkit, and network infection routines. Stuxnet was discovered in 2010, with some components being used as early as November 2008."
S1042,SUGARDUMP,,"SUGARDUMP is a proprietary browser credential harvesting tool that was used by UNC3890 during the C0010 campaign. The first known SUGARDUMP version was used since at least early 2021, a second SMTP C2 version was used from late 2021-early 2022, and a third HTTP C2 variant was used since at least April 2022."
S1049,SUGARUSH,,"SUGARUSH is a small custom backdoor that can establish a reverse shell over TCP to a hard coded C2 address. SUGARUSH was first identified during analysis of UNC3890's C0010 campaign targeting Israeli companies, which began in late 2020."
S0559,SUNBURST,Solorigate,SUNBURST is a trojanized DLL designed to fit within the SolarWinds Orion software update framework. It was used by APT29 since at least February 2020.
S0562,SUNSPOT,,SUNSPOT is an implant that injected the SUNBURST backdoor into the SolarWinds Orion software update framework. It was used by APT29 since at least February 2020.
S0578,SUPERNOVA,,SUPERNOVA is an in-memory web shell written in .NET C#. It was discovered in November 2020 during the investigation of APT29's SolarWinds cyber operation but determined to be unrelated. Subsequent analysis suggests SUPERNOVA may have been used by the China-based threat group SPIRAL.
S1064,SVCReady,,"SVCReady is a loader that has been used since at least April 2022 in malicious spam campaigns. Security researchers have noted overlaps between TA551 activity and SVCReady distribution, including similarities in file names, lure images, and identical grammatical errors."
S0018,Sykipot,,Sykipot is malware that has been used in spearphishing campaigns since approximately 2007 against victims primarily in the US. One variant of Sykipot hijacks smart cards on victims.  The group using this malware has also been referred to as Sykipot.
S0242,SynAck,,SynAck is variant of Trojan ransomware targeting mainly English-speaking users since at least fall 2017.
S0519,SYNful Knock,,SYNful Knock is a stealthy modification of the operating system of network devices that can be used to maintain persistence within a victim's network and provide new capabilities to the adversary.
S0060,Sys10,,Sys10 is a backdoor that was used throughout 2013 by Naikon.
S0464,SYSCON,,SYSCON is a backdoor that has been in use since at least 2017 and has been associated with campaigns involving North Korean themes. SYSCON has been delivered by the CARROTBALL and CARROTBAT droppers.
S0096,Systeminfo,,Systeminfo is a Windows utility that can be used to gather detailed information about a computer.
S0663,SysUpdate,"HyperSSL, Soldier, FOCUSFJORD",SysUpdate is a backdoor written in C++ that has been used by Threat Group-3390 since at least 2020.
S0098,T9000,,"T9000 is a backdoor that is a newer variant of the T5000 malware family, also known as Plat1. Its primary function is to gather information about the victim. It has been used in multiple targeted attacks against U.S.-based organizations."
S0011,Taidoor,,Taidoor is a remote access trojan (RAT) that has been used by Chinese government cyber actors to maintain access on victim networks. Taidoor has primarily been used against Taiwanese government organizations since at least 2010.
S0586,TAINTEDSCRIBE,,TAINTEDSCRIBE is a fully-featured beaconing implant integrated with command modules used by Lazarus Group. It was first reported in May 2020.
S0467,TajMahal,,"TajMahal is a multifunctional spying framework that has been in use since at least 2014. TajMahal is comprised of two separate packages, named Tokyo and Yokohama, and can deploy up to 80 plugins."
S0329,Tangelo,,"Tangelo is iOS malware that is believed to be from the same developers as the Stealth Mango Android malware. It is not a mobile application, but rather a Debian package that can only run on jailbroken iOS devices."
S1069,TangleBot,,"TangleBot is SMS malware that was initially observed in September 2021, primarily targeting mobile users in the United States and Canada. TangleBot has used SMS text message lures about COVID-19 regulations and vaccines to trick mobile users into downloading the malware, similar to FluBot Android malware campaigns."
S1011,Tarrask,,Tarrask is malware that has been used by HAFNIUM since at least August 2021. Tarrask was designed to evade digital defenses and maintain persistence by generating concealed scheduled tasks.
S0057,Tasklist,,The Tasklist utility displays a list of applications and services with their Process IDs (PID) for all tasks running on either a local or a remote computer. It is packaged with Windows operating systems and can be executed from the command-line interface.
S0164,TDTESS,,TDTESS is a 64-bit .NET binary backdoor used by CopyKittens.
S0560,TEARDROP,,TEARDROP is a memory-only dropper that was discovered on some victim machines during investigations related to the SolarWinds Compromise. It was likely used by APT29 since at least May 2020.
S0545,TERRACOTTA,,TERRACOTTA is an ad fraud botnet that has been capable of generating over 2 billion fraudulent requests per week.
S0146,TEXTMATE,DNSMessenger,TEXTMATE is a second-stage PowerShell backdoor that is memory-resident. It was observed being used along with POWERSOURCE in February 2017.
S0595,ThiefQuest,"MacRansom.K, EvilQuest","ThiefQuest is a virus, data stealer, and wiper that presents itself as ransomware targeting macOS systems. ThiefQuest was first seen in 2020 distributed via trojanized pirated versions of popular macOS software on Russian forums sharing torrent links. Even though ThiefQuest presents itself as ransomware, since the dynamically generated encryption key is never sent to the attacker it may be more appropriately thought of as a form of wiper malware."
S0665,ThreatNeedle,,"ThreatNeedle is a backdoor that has been used by Lazarus Group since at least 2019 to target cryptocurrency, defense, and mobile gaming organizations.  It is considered to be an advanced cluster of Lazarus Group's Manuscrypt (a.k.a. NukeSped) malware family."
S1056,TianySpy,,"TianySpy is a mobile malware primarily spread by SMS phishing between September 30 and October 12, 2021. TianySpy is believed to have targeted credentials associated with membership websites of major Japanese telecommunication services."
S0558,Tiktok Pro,,Tiktok Pro is spyware that has been masquerading as the TikTok application.
S0668,TinyTurla,,"TinyTurla is a backdoor that has been used by Turla against targets in the US, Germany, and Afghanistan since at least 2020."
S0131,TINYTYPHON,,TINYTYPHON is a backdoor  that has been used by the actors responsible for the MONSOON campaign. The majority of its code was reportedly taken from the MyDoom worm.
S0004,TinyZBot,,TinyZBot is a bot written in C# that was developed by Cleaver.
S0671,Tomiris,,Tomiris is a backdoor written in Go that continuously queries its C2 server for executables to download and execute on a victim system. It was first reported in September 2021 during an investigation of a successful DNS hijacking campaign against a Commonwealth of Independent States (CIS) member. Security researchers assess there are similarities between Tomiris and GoldMax.
S0183,Tor,,"Tor is a software suite and network that provides increased anonymity on the Internet. It creates a multi-hop proxy network and utilizes multilayer encryption to protect both the message and routing information. Tor utilizes ""Onion Routing,"" in which messages are encrypted with multiple layers of encryption; at each step in the proxy network, the topmost layer is decrypted and the contents forwarded on to the next node until it reaches its destination."
S0678,Torisma,,Torisma is a second stage implant designed for specialized monitoring that has been used by Lazarus Group. Torisma was discovered during an investigation into the 2020 Operation North Star campaign that targeted the defense sector.
S0682,TrailBlazer,,TrailBlazer is a modular malware that has been used by APT29 since at least 2019.
S0424,Triada,,Triada was first reported in 2016 as a second stage malware. Later versions in 2019 appeared with new techniques and as an initial downloader of other Trojan apps.
S0266,TrickBot,"Totbrick, TSPY_TRICKLOAD","TrickBot is a Trojan spyware program written in C++ that first emerged in September 2016 as a possible successor to Dyre. TrickBot was developed and initially used by Wizard Spider for targeting banking sites in North America, Australia, and throughout Europe; it has since been used against all sectors worldwide as part of ""big game hunting"" ransomware campaigns."
S0427,TrickMo,,"TrickMo a 2FA bypass mobile banking trojan, most likely being distributed by TrickBot. TrickMo has been primarily targeting users located in Germany.TrickMo is designed to steal transaction authorization numbers (TANs), which are typically used as one-time passwords."
S1009,Triton,"TRISIS, HatMan",Triton is an attack framework built to interact with Triconex Safety Instrumented System (SIS) controllers.
S0307,Trojan-SMS.AndroidOS.Agent.ao,,Trojan-SMS.AndroidOS.Agent.ao is Android malware.
S0306,Trojan-SMS.AndroidOS.FakeInst.a,,Trojan-SMS.AndroidOS.FakeInst.a is Android malware.
S0308,Trojan-SMS.AndroidOS.OpFake.a,,Trojan-SMS.AndroidOS.OpFake.a is Android malware.
S0094,Trojan.Karagany,"xFrost, Karagany",Trojan.Karagany is a modular remote access tool used for recon and linked to Dragonfly. The source code for Trojan.Karagany originated from Dream Loader malware which was leaked in 2010 and sold on underground forums.
S0001,Trojan.Mebromi,,Trojan.Mebromi is BIOS-level malware that takes control of the victim before MBR.
S0178,Truvasys,,Truvasys is first-stage malware that has been used by PROMETHIUM. It is a collection of modules written in the Delphi programming language.
S0436,TSCookie,,TSCookie is a remote access tool (RAT) that has been used by BlackTech in campaigns against Japanese targets.. TSCookie has been referred to as PLEAD though more recent reporting indicates a separation between the two.
S0647,Turian,,"Turian is a backdoor that has been used by BackdoorDiplomacy to target Ministries of Foreign Affairs, telecommunication companies, and charities in Africa, Europe, the Middle East, and Asia. First reported in 2021, Turian is likely related to Quarian, an older backdoor that was last observed being used in 2013 against diplomatic targets in Syria and the United States."
S0199,TURNEDUP,,TURNEDUP is a non-public backdoor. It has been dropped by APT33's StoneDrill malware.
S0302,Twitoor,,Twitoor is a dropper application capable of receiving commands from social media.
S0263,TYPEFRAME,,TYPEFRAME is a remote access tool that has been used by Lazarus Group.
S0116,UACMe,,UACMe is an open source assessment tool that contains many methods for bypassing Windows User Account Control on multiple versions of the operating system.
S0333,UBoatRAT,,UBoatRAT is a remote access tool that was identified in May 2017.
S0221,Umbreon,,A Linux rootkit that provides backdoor access and hides from defenders.
S0130,Unknown Logger,,"Unknown Logger is a publicly released, free backdoor. Version 1.5 of the backdoor has been used by the actors responsible for the MONSOON campaign."
S0275,UPPERCUT,ANEL,UPPERCUT is a backdoor that has been used by menuPass.
S0022,Uroburos,,Uroburos is a rootkit used by Turla.
S0386,Ursnif,"Gozi-ISFB, PE_URSNIF, Dreambot","Ursnif is a banking trojan and variant of the Gozi malware observed being spread through various automated exploit kits, Spearphishing Attachments, and malicious links. Ursnif is associated primarily with data theft, but variants also include components (backdoors, spyware, file injectors, etc.) capable of a wide variety of behaviors."
S0452,USBferry,,"USBferry is an information stealing malware and has been used by Tropic Trooper in targeted attacks against Taiwanese and Philippine air-gapped military environments. USBferry shares an overlapping codebase with YAHOYAH, though it has several features which makes it a distinct piece of malware."
S0136,USBStealer,"USB Stealer, Win32/USBStealer",USBStealer is malware that has been used by APT28 since at least 2005 to extract information from air-gapped networks. It does not have the capability to communicate over the Internet and has been used in conjunction with ADVSTORESHELL.
S0476,Valak,,"Valak is a multi-stage modular malware that can function as a standalone information stealer or downloader, first observed in 2019 targeting enterprises in the US and Germany."
S0636,VaporRage,,VaporRage is a shellcode downloader that has been used by APT29 since at least 2021.
S0207,Vasport,,Vasport is a trojan used by Elderwood to open a backdoor on compromised hosts.
S0442,VBShower,,"VBShower is a backdoor that has been used by Inception since at least 2019. VBShower has been used as a downloader for second stage payloads, including PowerShower."
S0257,VERMIN,,"VERMIN is a remote access tool written in the Microsoft .NET framework. It is mostly composed of original code, but also has some open source code."
S0418,ViceLeaker,Triout,"ViceLeaker is a spyware framework, capable of extensive surveillance and data exfiltration operations, primarily targeting devices belonging to Israeli citizens."
S0506,ViperRAT,,ViperRAT is sophisticated surveillanceware that has been in operation since at least 2015 and was used to target the Israeli Defense Force.
S0180,Volgmer,,"Volgmer is a backdoor Trojan designed to provide covert access to a compromised system. It has been used since at least 2013 to target the government, financial, automotive, and media industries. Its primary delivery mechanism is suspected to be spearphishing."
S1010,VPNFilter,,"VPNFilter is a multi-stage, modular platform with versatile capabilities to support both intelligence-collection and destructive cyber attack operations. VPNFilter modules such as its packet sniffer ('ps') can collect traffic that passes through an infected device, allowing the theft of website credentials and monitoring of Modbus SCADA protocols."
S0366,WannaCry,"WanaCry, WanaCrypt, WanaCrypt0r, WCry","WannaCry is ransomware that was first seen in a global attack during May 2017, which affected more than 150 countries. It contains worm-like features to spread itself across a computer network using the SMBv1 exploit EternalBlue."
S0670,WarzoneRAT,"Warzone, Ave Maria",WarzoneRAT is a malware-as-a-service remote access tool (RAT) written in C++ that has been publicly available for purchase since at least late 2018.
S0612,WastedLocker,,"WastedLocker is a ransomware family attributed to Indrik Spider that has been used since at least May 2020. WastedLocker has been used against a broad variety of sectors, including manufacturing, information technology, and media."
S0579,Waterbear,,"Waterbear is modular malware attributed to BlackTech that has been used primarily for lateral movement, decrypting, and triggering payloads and is capable of hiding network behaviors."
S0109,WEBC2,,"WEBC2 is a family of backdoor malware used by APT1 as early as July 2006. WEBC2 backdoors are designed to retrieve a webpage, with commands hidden in HTML comments or special tags, from a predetermined C2 server."
S0515,WellMail,,"WellMail is a lightweight malware written in Golang used by APT29, similar in design and structure to WellMess."
S0514,WellMess,,WellMess is lightweight malware family with variants written in .NET and Golang that has been in use since at least 2018 by APT29.
S0645,Wevtutil,,Wevtutil is a Windows command-line utility that enables administrators to retrieve information about event logs and publishers.
S0689,WhisperGate,,"WhisperGate is a multi-stage wiper designed to look like ransomware that has been used against multiple government, non-profit, and information technology organizations in Ukraine since at least January 2022."
S0206,Wiarp,,Wiarp is a trojan used by Elderwood to open a backdoor on compromised hosts.
S0005,Windows Credential Editor,WCE,Windows Credential Editor is a password dumping tool.
S0155,WINDSHIELD,,WINDSHIELD is a signature backdoor used by APT32.
S0466,WindTail,,WindTail is a macOS surveillance implant used by Windshift. WindTail shares code similarities with Hack Back aka KitM OSX.
S0219,WINERACK,,WINERACK is a backdoor used by APT37.
S0191,Winexe,,"Winexe is a lightweight, open source tool similar to PsExec designed to allow system administrators to execute commands on remote servers.  Winexe is unique in that it is a GNU/Linux based client."
S0176,Wingbird,,Wingbird is a backdoor that appears to be a version of commercial software FinFisher. It is reportedly used to attack individual computers instead of networks. It was used by NEODYMIUM in a May 2016 campaign.
S0059,WinMM,,"WinMM is a full-featured, simple backdoor used by Naikon."
S0430,Winnti for Linux,,"Winnti for Linux is a trojan, seen since at least 2015, designed specifically for targeting Linux systems. Reporting indicates the winnti malware family is shared across a number of actors including Winnti Group. The Windows variant is tracked separately under Winnti for Windows."
S0141,Winnti for Windows,,"Winnti for Windows is a modular remote access Trojan (RAT) that has been used likely by multiple groups to carry out intrusions in various regions since at least 2010, including by one group referred to as the same name, Winnti Group.. The Linux variant is tracked separately under Winnti for Linux."
S0041,Wiper,,Wiper is a family of destructive malware used in March 2013 during breaches of South Korean banks and media companies.
S0312,WireLurker,,WireLurker is a family of macOS malware that targets iOS devices connected over USB.
S0489,WolfRAT,,WolfRAT is malware based on a leaked version of Dendroid that has primarily targeted Thai users. WolfRAT has most likely been operated by the now defunct organization Wolf Research.
S1065,Woody RAT,,Woody RAT is a remote access trojan (RAT) that has been used since at least August 2021 against Russian organizations.
S0314,X-Agent for Android,,"X-Agent for Android is Android malware that was placed in a repackaged version of a Ukrainian artillery targeting application. The malware reportedly retrieved general location data on where the victim device was used, and therefore could likely indicate the potential location of Ukrainian artillery.  Is it tracked separately from the CHOPSTICK."
S0161,XAgentOSX,OSX.Sofacy,XAgentOSX is a trojan that has been used by APT28  on OS X and appears to be a port of their standard CHOPSTICK or XAgent trojan.
S0341,Xbash,,"Xbash is a malware family that has targeted Linux and Microsoft Windows servers. The malware has been tied to the Iron Group, a threat actor group known for previous ransomware attacks. Xbash was developed in Python and then converted into a self-contained Linux ELF executable by using PyInstaller."
S0298,Xbot,,Xbot is an Android malware family that was observed in 2016 primarily targeting Android users in Russia and Australia.
S0653,xCaon,,"xCaon is an HTTP variant of the BoxCaon malware family that has used by IndigoZebra since at least 2014. xCaon has been used to target political entities in Central Asia, including Kyrgyzstan and Uzbekistan."
S0123,xCmd,,xCmd is an open source tool that is similar to PsExec and allows the user to execute applications on remote systems.
S0297,XcodeGhost,,XcodeGhost is iOS malware that infected at least 39 iOS apps in 2015 and potentially affected millions of users.
S0658,XCSSET,OSX.DubRobber,"XCSSET is a macOS modular backdoor that targets Xcode application developers. XCSSET was first observed in August 2020 and has been used to install a backdoor component, modify browser applications, conduct collection, and provide ransomware-like encryption capabilities."
S0318,XLoader for Android,,"XLoader for Android is a malicious Android app first observed targeting Japan, Korea, China, Taiwan, and Hong Kong in 2018. It has more recently been observed targeting South Korean users as a pornography application. It is tracked separately from the XLoader for iOS."
S0490,XLoader for iOS,,XLoader for iOS is a malicious iOS application that is capable of gathering system information. It is tracked separately from the XLoader for Android.
S0117,XTunnel,"Trojan.Shunnael, X-Tunnel, XAPS",XTunnel a VPN-like network proxy tool that can relay traffic between a C2 server and a victim. It was first seen in May 2013 and reportedly used by APT28 during the compromise of the Democratic National Committee.
S0388,YAHOYAH,,YAHOYAH is a Trojan used by Tropic Trooper as a second-stage backdoor.
S0311,YiSpecter,,"YiSpecter is a family of iOS and Android malware, first detected in November 2014, targeting users in mainland China and Taiwan. YiSpecter abuses private APIs in iOS to infect both jailbroken and non-jailbroken devices."
S0248,yty,,"yty is a modular, plugin-based malware framework. The components of the framework are written in a variety of programming languages."
S0251,Zebrocy,Zekapab,"Zebrocy is a Trojan that has been used by APT28 since at least November 2015. The malware comes in several programming language variants, including C++, Delphi, AutoIt, C#, VB.NET, and Golang."
S0494,Zen,,Zen is Android malware that was first seen in 2013.
S0287,ZergHelper,,"ZergHelper is iOS riskware that was unique due to its apparent evasion of Apple's App Store review process. No malicious functionality was identified in the app, but it presents security risks."
S0027,Zeroaccess,,"Zeroaccess is a kernel-mode Rootkit that attempts to add victims to the ZeroAccess botnet, often for monetary gain."
S0230,ZeroT,,"ZeroT is a Trojan used by TA459, often in conjunction with PlugX."
S0330,Zeus Panda,,"Zeus Panda is a Trojan designed to steal banking information and other sensitive credentials for exfiltration. Zeus Panda’s original source code was leaked in 2011, allowing threat actors to use its source code as a basis for new malware variants. It is mainly used to target Windows operating systems ranging from Windows XP through Windows 10."
S0086,ZLib,,ZLib is a full-featured backdoor that was used as a second-stage implant during Operation Dust Storm since at least 2014. ZLib is malware and should not be confused with the legitimate compression library from which its name is derived.
S0672,Zox,"Gresim, ZoxRPC, ZoxPNG",Zox is a remote access tool that has been used by Axiom since at least 2008.
S0350,zwShell,,zwShell is a remote access tool (RAT) written in Delphi that has been seen in the wild since the spring of 2010 and used by threat actors during Night Dragon.
S0412,ZxShell,Sensocode,"ZxShell is a remote administration tool and backdoor that can be downloaded from the Internet, particularly from Chinese hacker websites. It has been used since at least 2004."
S1013,ZxxZ,,"ZxxZ is a trojan written in Visual C++ that has been used by BITTER since at least August 2021, including against Bangladeshi government personnel."
